50-18-0
50-28-2
50-29-3
50-55-5
51-52-5
52-24-4
53-16-7
55-86-7
55-98-1
56-53-1
56-75-7
57-63-6
57-83-0
62-44-2
62-50-0
63-92-3
66-27-3
68-22-4
70-25-7
71-48-7
72-33-3
75-96-7
78-00-2
79-43-6
1995-06-07
95-83-0
96-13-9
106-87-6
0117-10-02
136-35-6
136-40-3
143-50-0
148-82-3
154-93-8
298-81-7
303-47-9
0305-03-03
313-67-7
319-85-7 
320-67-2
366-70-1
0373-02-04
0434-07-01
443-48-1
446-86-6
475-80-9
513-37-1
569-61-9
630-93-3
631-64-1
671-16-9
930-55-2
1116-54-7
1304-56-9
1309-64-4
1313-99-1
1327-53-3
1333-82-0
1335-32-6
1402-68-2
2385-85-5
2425-06-01
2429-74-5
2475-45-8
3165-93-3
4342-03-04
5278-95-5
5589-96-8
7446-27-7
7446-34-6
7631-89-2
7646-79-9 
7775-11-03
7778-44-1
7778-50-9
7784-40-9
7784-46-5
7786-81-4
7787-47-5
7787-56-6
7788-98-9
7789-00-6
7789-06-02
7789-09-05
8007-45-2
9004-66-4
10026-24-1
10043-92-2
10108-64-2 
10124-43-3
10141-05-06
10540-29-1
10588-01-09
11104-61-3
11113-75-0
11119-70-3
12001-28-4
12001-29-5
12035-72-2
12054-48-7
12126-59-9
12172-73-5
12653-56-4
13010-47-4
13256-22-9
13327-32-7
13464-35-2
13510-49-1
13530-65-9
13552-44-8
13598-00-0
13598-15-7
13654-09-06
13765-19-0
13909-09-06
14464-46-1
14808-60-7
15347-57-6
15468-32-3
15663-27-1
18540-29-9
18883-66-4
23214-92-8
23246-96-0
25013-16-5
25316-40-9
25638-88-4
36355-01-8
54749-90-5
59865-13-3
61288-13-9
64091-91-4
65996-93-2
66104-24-3
66733-21-9
71133-14-7
76180-96-6
11558-11-02
77500-04-0
77536-66-4
77536-67-5
77536-68-6
105650-23-5
108171-26-2

